transaction_date,user_id,belanja,hiburan,kesehatan,kos_sewa,lainnya,makanan,pendidikan,tagihan,transportasi
2025-06,user_0158,614000,292000,234000,578000,201000,956000,365000,449000,453000
2025-06,user_0159,1210000,588000,453000,1289000,618000,2168000,593000,2738000,1031000
2025-06,user_0160,1640000,1017000,817000,1834000,1223000,3110000,1145000,1681000,1578000
2025-06,user_0161,1680000,1264000,662000,2061000,1058000,4025000,1068000,2297000,2413000
2025-06,user_0162,352000,235000,153000,433000,242000,724000,225000,367000,310000
2025-06,user_0164,1675000,1067000,732000,1696000,578000,4021000,1251000,1848000,1227000
2025-06,user_0167,1156000,753000,547000,1766000,795000,2712000,827000,1496000,1315000
2025-06,user_0168,1646000,1386000,823000,1982000,697000,3807000,1072000,2009000,1570000
2025-06,user_0171,906000,569000,362000,928000,374000,1506000,484000,858000,590000
2025-06,user_0172,949000,568000,430000,1093000,450000,1786000,570000,867000,691000
2025-06,user_0173,664000,503000,256000,768000,319000,1273000,476000,845000,588000
2025-06,user_0174,1219000,925000,497000,1749000,923000,2867000,924000,1301000,1094000
2025-06,user_0175,1102000,745000,470000,1195000,396000,1667000,611000,1066000,847000
2025-07,user_0003,726000,453000,274000,770000,370000,1182000,476000,799000,1175000
2025-07,user_0005,190000,134000,61000,117000,66000,425000,157000,250000,200000
2025-07,user_0008,172000,167000,67000,121000,69000,392000,133000,150000,189000
2025-07,user_0009,248000,161000,82000,185000,164000,713000,177000,250000,348000
2025-07,user_0010,252000,184000,73000,157000,91000,640000,146000,150000,263000
2025-07,user_0011,122000,96000,56000,102000,75000,432000,136000,250000,217000
2025-07,user_0013,86000,79000,27000,53000,57000,234000,65000,250000,87000
2025-07,user_0014,118000,109000,45000,80000,85000,364000,93000,250000,139000
2025-07,user_0015,207000,172000,90000,195000,123000,652000,176000,122000,304000
2025-07,user_0016,106000,95000,34000,73000,59000,293000,105000,200000,679000
2025-07,user_0017,140000,99000,59000,118000,94000,440000,114000,179000,232000
2025-07,user_0018,118000,108000,47000,76000,80000,297000,88000,200000,148000
2025-07,user_0019,199000,200000,63000,138000,134000,611000,187000,200000,247000
2025-07,user_0020,256000,174000,95000,188000,120000,810000,207000,283000,389000
2025-07,user_0021,284000,244000,88000,220000,118000,838000,195000,201000,1345000
2025-07,user_0022,1874000,200000,90000,156000,106000,690000,173000,200000,250000
2025-07,user_0023,104000,105000,47000,74000,66000,301000,99000,200000,142000
2025-07,user_0024,206000,146000,72000,123000,79000,529000,163000,137000,251000
2025-07,user_0025,177000,155000,65000,179000,89000,525000,186000,250000,261000
2025-07,user_0026,246000,191000,84000,147000,104000,565000,207000,135000,271000
2025-07,user_0027,131000,121000,52000,108000,82000,376000,114000,150000,176000
2025-07,user_0029,98000,83000,32000,80000,48000,303000,96000,250000,116000
2025-07,user_0030,180000,148000,57000,127000,98000,448000,159000,250000,249000
2025-07,user_0031,284000,261000,108000,217000,228000,970000,221000,203000,391000
2025-07,user_0032,223000,192000,62000,139000,133000,1057000,142000,250000,297000
2025-07,user_0033,284000,223000,128000,209000,210000,926000,230000,250000,348000
2025-07,user_0034,88000,68000,28000,52000,42000,245000,81000,250000,793000
2025-07,user_0035,177000,138000,57000,110000,110000,565000,159000,200000,192000
2025-07,user_0036,228000,225000,96000,216000,139000,749000,277000,274000,385000
2025-07,user_0037,127000,99000,43000,91000,57000,385000,111000,150000,180000
2025-07,user_0038,292000,236000,83000,173000,101000,740000,195000,250000,272000
2025-07,user_0039,349000,306000,148000,214000,135000,840000,289000,192000,406000
2025-07,user_0040,314000,262000,108000,176000,131000,762000,203000,159000,368000
2025-07,user_0041,114000,99000,30000,60000,47000,317000,93000,250000,115000
2025-07,user_0042,220000,182000,93000,193000,126000,685000,211000,200000,355000
2025-07,user_0043,214000,178000,80000,144000,84000,516000,198000,152000,851000
2025-07,user_0044,102000,66000,33000,100000,45000,273000,80000,250000,128000
2025-07,user_0046,344000,244000,115000,203000,155000,744000,282000,250000,392000
2025-07,user_0048,169000,126000,62000,124000,73000,530000,134000,200000,174000
2025-07,user_0049,239000,229000,84000,140000,93000,519000,179000,200000,285000
2025-07,user_0051,176000,152000,53000,111000,100000,474000,155000,250000,209000
2025-07,user_0052,179000,1154000,68000,139000,121000,510000,162000,200000,245000
2025-07,user_0053,75000,61000,31000,68000,62000,262000,69000,250000,108000
2025-07,user_0054,125000,114000,34000,83000,50000,304000,86000,250000,128000
2025-07,user_0055,260000,197000,98000,194000,152000,706000,221000,250000,296000
2025-07,user_0056,193000,119000,56000,151000,105000,439000,147000,200000,212000
2025-07,user_0057,85000,71000,30000,55000,40000,230000,69000,150000,120000
2025-07,user_0059,144000,120000,61000,119000,86000,476000,127000,150000,183000
2025-07,user_0060,298000,265000,103000,214000,106000,777000,249000,200000,363000
2025-07,user_0063,227000,177000,66000,125000,70000,533000,150000,250000,208000
2025-07,user_0065,289000,238000,95000,192000,103000,725000,232000,200000,336000
2025-07,user_0066,157000,172000,64000,119000,80000,519000,132000,105000,242000
2025-07,user_0067,198000,169000,90000,133000,102000,1144000,157000,150000,300000
2025-07,user_0068,418000,330000,108000,276000,180000,1111000,261000,261000,398000
2025-07,user_0069,210000,224000,80000,144000,143000,643000,233000,163000,259000
2025-07,user_0070,174000,141000,66000,159000,94000,450000,173000,250000,231000
2025-07,user_0071,770000,464000,278000,708000,185000,1261000,164000,672000,593000
2025-07,user_0072,716000,383000,257000,526000,151000,1258000,156000,737000,612000
2025-07,user_0073,387000,212000,175000,339000,143000,883000,106000,563000,465000
2025-07,user_0074,673000,355000,201000,477000,319000,1239000,138000,683000,691000
2025-07,user_0075,1117000,628000,489000,962000,594000,2086000,323000,1875000,1095000
2025-07,user_0076,869000,514000,384000,1052000,431000,1765000,193000,1029000,893000
2025-07,user_0077,1213000,671000,585000,1257000,574000,2659000,262000,1570000,1160000
2025-07,user_0079,697000,410000,302000,681000,390000,1435000,152000,725000,692000
2025-07,user_0080,714000,382000,298000,772000,304000,1296000,188000,774000,717000
2025-07,user_0081,708000,568000,301000,722000,238000,1549000,172000,896000,805000
2025-07,user_0082,1009000,541000,369000,891000,469000,1741000,195000,1073000,933000
2025-07,user_0085,779000,423000,331000,915000,404000,1812000,237000,1678000,1137000
2025-07,user_0086,852000,466000,372000,1021000,333000,1640000,254000,1146000,895000
2025-07,user_0087,705000,393000,287000,555000,267000,1400000,141000,838000,713000
2025-07,user_0088,1098000,681000,531000,1177000,722000,2997000,324000,1937000,1540000
2025-07,user_0089,818000,546000,337000,756000,356000,1391000,167000,1124000,879000
2025-07,user_0090,635000,427000,198000,528000,134000,1141000,117000,660000,537000
2025-07,user_0091,515000,311000,183000,462000,225000,1013000,92000,534000,457000
2025-07,user_0092,728000,594000,340000,737000,405000,1484000,177000,1106000,944000
2025-07,user_0094,979000,625000,363000,794000,434000,1895000,185000,1117000,798000
2025-07,user_0095,842000,602000,305000,849000,449000,1671000,196000,1129000,826000
2025-07,user_0096,1517000,927000,555000,1503000,500000,2411000,343000,2248000,1483000
2025-07,user_0097,718000,503000,343000,674000,372000,1575000,204000,1004000,753000
2025-07,user_0098,1131000,530000,420000,947000,459000,2051000,193000,1099000,1066000
2025-07,user_0099,1541000,994000,559000,1381000,643000,2361000,353000,1713000,1215000
2025-07,user_0100,671000,456000,260000,712000,355000,1802000,156000,777000,665000
2025-07,user_0101,573000,365000,213000,483000,245000,1056000,101000,524000,486000
2025-07,user_0102,963000,500000,312000,731000,485000,2086000,201000,1217000,1107000
2025-07,user_0103,445000,372000,180000,511000,252000,888000,109000,520000,496000
2025-07,user_0104,897000,508000,309000,694000,247000,1493000,214000,1494000,1042000
2025-07,user_0105,917000,632000,484000,1079000,304000,2096000,243000,1675000,968000
2025-07,user_0106,799000,539000,340000,759000,430000,1851000,182000,941000,836000
2025-07,user_0107,721000,486000,269000,739000,202000,1279000,190000,997000,848000
2025-07,user_0108,609000,310000,202000,557000,283000,940000,152000,640000,459000
2025-07,user_0109,751000,1623000,305000,726000,414000,1611000,197000,883000,745000
2025-07,user_0110,737000,539000,252000,732000,250000,1829000,175000,904000,645000
2025-07,user_0111,1200000,666000,367000,909000,448000,2181000,275000,1520000,1108000
2025-07,user_0113,998000,885000,378000,887000,296000,1977000,221000,1339000,1098000
2025-07,user_0114,495000,294000,147000,451000,223000,875000,124000,597000,405000
2025-07,user_0115,474000,301000,224000,525000,165000,873000,101000,543000,510000
2025-07,user_0117,623000,295000,230000,591000,281000,962000,147000,652000,622000
2025-07,user_0119,1026000,719000,293000,876000,269000,1677000,171000,1063000,762000
2025-07,user_0120,774000,584000,313000,731000,447000,1922000,214000,1076000,814000
2025-07,user_0121,2444000,598000,401000,1018000,338000,2074000,234000,1040000,792000
2025-07,user_0122,828000,482000,421000,941000,472000,1650000,237000,1005000,920000
2025-07,user_0123,658000,429000,286000,766000,236000,1246000,188000,1004000,613000
2025-07,user_0124,675000,369000,282000,725000,364000,1731000,171000,1236000,687000
2025-07,user_0125,778000,553000,258000,801000,305000,1346000,169000,876000,743000
2025-07,user_0126,2503000,669000,447000,941000,448000,1719000,265000,1442000,1165000
2025-07,user_0127,1158000,642000,533000,973000,532000,2386000,276000,2078000,1139000
2025-07,user_0128,913000,650000,381000,1012000,511000,2176000,254000,1406000,978000
2025-07,user_0129,664000,324000,221000,493000,251000,1500000,126000,677000,668000
2025-07,user_0130,3055000,762000,509000,1543000,739000,3127000,395000,2479000,1455000
2025-07,user_0131,921000,681000,358000,1032000,304000,1940000,272000,1105000,1723000
2025-07,user_0132,1216000,1547000,485000,1344000,508000,2157000,267000,2025000,1166000
2025-07,user_0133,657000,531000,244000,700000,176000,1235000,148000,816000,665000
2025-07,user_0134,794000,500000,242000,641000,312000,1546000,182000,2531000,729000
2025-07,user_0136,652000,1379000,264000,535000,335000,1343000,138000,682000,737000
2025-07,user_0137,431000,284000,163000,480000,153000,807000,123000,581000,456000
2025-07,user_0138,611000,1400000,241000,564000,261000,1358000,139000,778000,678000
2025-07,user_0139,721000,302000,315000,662000,392000,1317000,196000,1335000,662000
2025-07,user_0140,835000,518000,431000,1089000,466000,2266000,236000,1271000,951000
2025-07,user_0141,1968000,1194000,756000,2326000,1034000,4357000,1136000,2212000,1785000
2025-07,user_0142,320000,188000,120000,385000,221000,608000,243000,314000,906000
2025-07,user_0145,674000,463000,333000,889000,392000,1476000,404000,650000,695000
2025-07,user_0146,967000,1748000,387000,1209000,459000,1829000,533000,996000,868000
2025-07,user_0147,832000,465000,311000,955000,430000,1612000,418000,884000,722000
2025-07,user_0148,606000,432000,245000,564000,269000,1170000,433000,607000,438000
2025-07,user_0149,349000,219000,188000,585000,200000,826000,294000,532000,360000
2025-07,user_0150,1022000,497000,280000,819000,277000,1440000,568000,873000,793000
2025-07,user_0151,476000,274000,225000,629000,166000,919000,348000,420000,344000
2025-07,user_0152,518000,250000,195000,616000,319000,904000,361000,604000,347000
2025-07,user_0155,354000,248000,161000,484000,199000,941000,238000,475000,374000
2025-07,user_0156,376000,263000,153000,449000,214000,730000,273000,460000,320000
2025-07,user_0157,527000,331000,324000,773000,377000,1743000,565000,1119000,506000
2025-07,user_0158,548000,326000,184000,595000,218000,1147000,392000,619000,368000
2025-07,user_0159,1433000,700000,563000,1192000,810000,2846000,699000,1356000,935000
2025-07,user_0160,2352000,648000,337000,920000,568000,1878000,717000,1182000,732000
2025-07,user_0161,1225000,674000,418000,1375000,707000,2402000,691000,1247000,774000
2025-07,user_0162,299000,164000,108000,339000,181000,659000,191000,2814000,200000
2025-07,user_0163,1464000,1006000,692000,1836000,907000,3341000,1023000,3561000,1063000
2025-07,user_0164,974000,580000,400000,985000,406000,1823000,684000,1082000,871000
2025-07,user_0166,822000,504000,378000,1053000,485000,1593000,463000,1044000,640000
2025-07,user_0167,773000,542000,376000,989000,467000,1904000,588000,824000,762000
2025-07,user_0168,1577000,746000,523000,1533000,589000,2849000,1020000,1291000,1220000
2025-07,user_0171,968000,651000,414000,1093000,429000,1665000,633000,1245000,807000
2025-07,user_0172,729000,510000,376000,942000,395000,1583000,538000,830000,589000
2025-07,user_0173,552000,341000,201000,463000,207000,999000,345000,512000,319000
2025-07,user_0174,509000,289000,194000,498000,232000,796000,346000,2678000,347000
2025-07,user_0175,360000,251000,143000,356000,154000,688000,228000,382000,245000
2025-08,user_0003,654000,375000,310000,832000,407000,1496000,529000,746000,1247000
2025-08,user_0005,1565000,184000,70000,134000,83000,490000,176000,200000,278000
2025-08,user_0008,203000,146000,68000,101000,68000,424000,124000,110000,199000
2025-08,user_0009,243000,1145000,78000,144000,119000,678000,156000,150000,279000
2025-08,user_0010,199000,147000,54000,103000,85000,539000,115000,100000,205000
2025-08,user_0011,142000,90000,53000,107000,73000,434000,106000,200000,148000
2025-08,user_0013,61000,64000,25000,50000,46000,183000,55000,200000,90000
2025-08,user_0014,154000,135000,59000,102000,103000,405000,122000,100000,184000
2025-08,user_0015,170000,149000,70000,143000,100000,502000,166000,116000,213000
2025-08,user_0016,112000,86000,38000,61000,40000,236000,88000,250000,105000
2025-08,user_0017,98000,91000,56000,102000,80000,383000,118000,160000,212000
2025-08,user_0018,118000,94000,44000,77000,67000,417000,89000,250000,137000
2025-08,user_0019,176000,146000,79000,131000,132000,673000,171000,250000,215000
2025-08,user_0020,1405000,203000,102000,271000,157000,922000,232000,311000,431000
2025-08,user_0021,400000,275000,107000,194000,132000,806000,256000,218000,351000
2025-08,user_0022,238000,216000,75000,195000,96000,558000,165000,143000,243000
2025-08,user_0023,123000,109000,43000,90000,87000,348000,114000,100000,192000
2025-08,user_0024,230000,153000,75000,118000,89000,482000,146000,250000,218000
2025-08,user_0025,308000,189000,122000,242000,140000,837000,251000,331000,401000
2025-08,user_0026,163000,128000,63000,123000,84000,368000,126000,150000,231000
2025-08,user_0027,148000,964000,50000,94000,92000,407000,117000,200000,190000
2025-08,user_0028,318000,286000,89000,202000,106000,886000,204000,250000,335000
2025-08,user_0029,115000,99000,46000,96000,66000,400000,107000,250000,138000
2025-08,user_0030,124000,132000,55000,95000,89000,484000,120000,2164000,177000
2025-08,user_0031,314000,264000,113000,245000,195000,1078000,312000,266000,516000
2025-08,user_0032,248000,159000,73000,149000,155000,666000,185000,150000,259000
2025-08,user_0033,231000,182000,86000,222000,164000,780000,221000,200000,327000
2025-08,user_0034,87000,69000,32000,81000,53000,291000,99000,250000,150000
2025-08,user_0035,188000,141000,59000,153000,108000,644000,131000,150000,227000
2025-08,user_0036,239000,154000,94000,179000,97000,622000,172000,295000,304000
2025-08,user_0037,111000,88000,40000,75000,51000,328000,74000,200000,144000
2025-08,user_0038,213000,242000,90000,186000,116000,1343000,226000,150000,255000
2025-08,user_0039,341000,209000,98000,204000,116000,719000,207000,194000,386000
2025-08,user_0040,198000,215000,82000,152000,77000,543000,157000,250000,274000
2025-08,user_0041,77000,64000,25000,66000,35000,200000,66000,250000,879000
2025-08,user_0042,289000,320000,106000,186000,118000,823000,237000,223000,335000
2025-08,user_0043,236000,226000,93000,182000,87000,534000,208000,150000,292000
2025-08,user_0044,96000,1115000,29000,57000,43000,274000,83000,250000,106000
2025-08,user_0046,299000,200000,81000,206000,112000,606000,204000,188000,338000
2025-08,user_0048,148000,124000,66000,120000,83000,387000,108000,250000,204000
2025-08,user_0049,195000,186000,61000,133000,88000,479000,160000,200000,271000
2025-08,user_0050,194000,156000,69000,144000,101000,589000,142000,250000,204000
2025-08,user_0051,196000,149000,69000,168000,149000,637000,163000,143000,281000
2025-08,user_0052,149000,112000,52000,110000,93000,486000,106000,200000,191000
2025-08,user_0053,81000,1264000,37000,57000,50000,236000,74000,100000,112000
2025-08,user_0054,118000,1202000,43000,83000,48000,277000,72000,100000,125000
2025-08,user_0055,252000,173000,86000,155000,124000,597000,192000,250000,355000
2025-08,user_0056,189000,137000,68000,136000,90000,451000,156000,250000,205000
2025-08,user_0057,96000,62000,32000,58000,40000,265000,73000,250000,103000
2025-08,user_0059,169000,136000,71000,140000,117000,516000,155000,100000,202000
2025-08,user_0060,349000,253000,106000,171000,144000,685000,235000,200000,352000
2025-08,user_0063,194000,143000,47000,115000,64000,373000,123000,150000,224000
2025-08,user_0065,278000,184000,79000,151000,101000,668000,156000,148000,253000
2025-08,user_0066,256000,199000,83000,126000,104000,571000,173000,250000,272000
2025-08,user_0067,236000,226000,101000,156000,103000,755000,175000,127000,334000
2025-08,user_0068,390000,329000,109000,224000,131000,1010000,295000,225000,351000
2025-08,user_0069,244000,202000,103000,178000,169000,577000,174000,150000,301000
2025-08,user_0070,205000,148000,69000,158000,71000,485000,180000,150000,274000
2025-08,user_0071,869000,497000,262000,561000,218000,1668000,150000,799000,690000
2025-08,user_0072,748000,427000,204000,547000,189000,1164000,130000,660000,561000
2025-08,user_0073,1811000,235000,153000,446000,132000,728000,121000,640000,450000
2025-08,user_0074,1637000,288000,161000,403000,218000,901000,92000,509000,507000
2025-08,user_0075,896000,606000,426000,1139000,517000,2213000,325000,4168000,1338000
2025-08,user_0076,829000,504000,357000,868000,482000,2055000,214000,1159000,861000
2025-08,user_0077,1306000,762000,437000,1174000,560000,2416000,305000,1640000,1196000
2025-08,user_0079,516000,364000,232000,445000,240000,1081000,136000,598000,1284000
2025-08,user_0080,720000,438000,293000,716000,375000,1287000,154000,872000,729000
2025-08,user_0081,656000,370000,218000,474000,201000,1109000,111000,746000,576000
2025-08,user_0082,1200000,775000,417000,1060000,550000,2558000,278000,1356000,1394000
2025-08,user_0084,495000,417000,185000,491000,149000,1181000,143000,568000,461000
2025-08,user_0085,1175000,601000,400000,1052000,647000,2112000,258000,1737000,1324000
2025-08,user_0086,1008000,464000,436000,997000,262000,1766000,235000,1543000,970000
2025-08,user_0087,595000,408000,199000,481000,306000,1114000,110000,543000,654000
2025-08,user_0088,2052000,451000,293000,740000,423000,1999000,207000,1243000,1049000
2025-08,user_0089,1541000,836000,536000,1048000,595000,2814000,336000,1423000,1383000
2025-08,user_0090,390000,308000,168000,399000,109000,669000,94000,549000,436000
2025-08,user_0091,344000,212000,165000,406000,173000,689000,101000,459000,352000
2025-08,user_0092,715000,487000,332000,651000,317000,1533000,203000,1042000,947000
2025-08,user_0093,1020000,564000,407000,984000,580000,2175000,283000,1407000,1247000
2025-08,user_0094,661000,541000,307000,604000,402000,1741000,171000,754000,652000
2025-08,user_0095,846000,482000,263000,586000,337000,1511000,192000,828000,638000
2025-08,user_0096,1626000,797000,495000,1444000,460000,3079000,409000,4828000,1620000
